(b44d,1bb3f) (10175,1bb3f)
(bf9f,e827) (a3df,e827)
(4ffd,4aadf) (1a35d,4aadf)
(28ab1,2d887) (207d1,2d887)
(19d71,2f10b) (c229,2f10b)
(6e9b7,74d17) (5ad67,74d17)
(e1f5,1249d) (739d,1249d)
(bb15,357b5) (31b79,357b5)
(2245,50cf) (72d,50cf)
(f5bb,16519) (13473,16519)
(7a90f,81401) (585cb,81401)
(1260b,3f86b) (26c03,3f86b)
(6610d,7699d) (2bffd,7699d)
(22fa9,2bcf7) (15119,2bcf7)
(22e49,4372f) (39af9,4372f)
(44617,6e317) (20b87,6e317)
(a9eb,14653) (a793,14653)
(f859,21f8f) (20c41,21f8f)
(cc25,97ff3) (2f725,97ff3)
(46e7,59b39) (28bd7,59b39)
(24d3,20d29) (c35b,20d29)
(a219,1d31b) (c439,1d31b)
(19ff3,1ce1d) (10afb,1ce1d)
(1280b,150fb) (e383,150fb)
(1b93d,2ea8d) (4501,2ea8d)
(67217,8e027) (89f47,8e027)
(13d6b,1e247) (7273,1e247)
(23333,45e05) (20d3b,45e05)
(17275,39d67) (735d,39d67)
(3c413,4bba7) (2379b,4bba7)
(13757,3ce95) (1d8df,3ce95)
(eca7,116d1) (c357,116d1)
(19a69,1d27f) (14219,1d27f)
(6fedb,cfd45) (82c7f,cfd45)
(2858b,35d2b) (c723,35d2b)
(dbfd,145f1) (49a5,145f1)
(22f3,4fc4b) (1484b,4fc4b)
(4102f,47de5) (1510b,47de5)
(42cfd,4c5d3) (16975,4c5d3)
(6715,21793) (c68d,21793)
(1d8ab,48845) (3e863,48845)
(a331,220eb) (2141,220eb)
(19a3b,39dc9) (2c5d3,39dc9)
(2e235,4000f) (15b25,4000f)
(27df,4f43) (2887,4f43)
(101a7,6f727) (5c017,6f727)
(2aac9,4676f) (21ea1,4676f)
(abdf,eda1) (dd77,eda1)
(8078f,8de09) (eb7f,8de09)
(2a0d,1453d) (11851,1453d)
(3cc65,53ca7) (3790d,53ca7)
(328d5,59edf) (45e7d,59edf)
(17899,67c3f) (37009,67c3f)
(83eb,143f5) (1ef,143f5)
(fca9,10451) (8c11,10451)
(227b,a015) (43f3,a015)
(27c23,714ef) (68e8b,714ef)
(c19d,122bd) (88fd,122bd)
(4adb,8f4d9) (7abeb,8f4d9)
(adc9,4cf49) (2e19,4cf49)
(11e11,2d475) (18189,2d475)
(c7f,1e3c7) (cacf,1e3c7)
(57f07,67691) (3647b,67691)
(1dd91,243d1) (36a9,243d1)
(1404d,2ba29) (27001,2ba29)
(cd8b,15083) (4703,15083)
(2ee59,8a3bf) (52301,8a3bf)
(bc69,3f81b) (263f9,3f81b)
(22b1,12e6f) (47d1,12e6f)
(18677,197db) (67f7,197db)
(1aff,9ca1) (344f,9ca1)
(6011,14737) (1439,14737)
(18e69,212ed) (73d9,212ed)
(21e47,8cd41) (3a987,8cd41)
(12757,3bb81) (27883,3bb81)
(12385,1d0b1) (714d,1d0b1)
(6685,2240b) (1b3cd,2240b)
(12a4b,2c723) (1cb43,2c723)
(117b9,11af1) (6689,11af1)
(16987,1a14d) (7477,1a14d)
(6c341,8fc11) (79d45,8fc11)
(17f77,22eb3) (841f,22eb3)
(32c4b,3c4ed) (25ca3,3c4ed)
(69c1,5e607) (58789,5e607)
(101b3,1a003) (f23b,1a003)
(316e1,9a537) (5581,9a537)
(37b83,65dbb) (2451b,65dbb)
(8b85,bc05) (5165,bc05)
(8245,28fd9) (1b5b9,28fd9)
(9c17,565ff) (3cb27,565ff)
(2b50f,40c8d) (37df3,40c8d)
(40e4f,9efdd) (57baf,9efdd)
(4a825,563ed) (2038d,563ed)
(ab5b,1fe65) (195d3,1fe65)
(4bc4f,6fe1b) (27697,6fe1b)
(1e185,48217) (7fcd,48217)
(a1bb,5ce0f) (32dd3,5ce0f)
(19cdb,1a8bd) (12e73,1a8bd)
(1729,1f5a7) (13519,1f5a7)
(18c55,4e457) (2b8e5,4e457)
(15a9d,16393) (156f5,16393)
(a13f,21ffb) (e66f,21ffb)
(35cbd,4c367) (10e95,4c367)
(3d283,716bd) (558b,716bd)
(e825,1d2b5) (5ecd,1d2b5)
(20773,3168b) (2e0f3,3168b)
(28199,29bf9) (172e5,29bf9)
(244ed,4b473) (231cd,4b473)
(4b81b,51fd3) (9ad3,51fd3)
(e8f7,2f999) (1247,2f999)
(1d4e9,533ed) (36059,533ed)
(ac93,528b3) (20d13,528b3)
(3161f,63971) (3c503,63971)
(16b4b,20a61) (15b63,20a61)
(7485d,74e4f) (382a5,74e4f)
(21c9b,3cfa1) (11db3,3cfa1)
(3c769,3f9f7) (1ec01,3f9f7)
(90f5,a53f5) (a2e5d,a53f5)
(2c3f,171cb) (bfcf,171cb)
(4af7d,5eb1d) (4b415,5eb1d)
(4a40b,7bb93) (799a3,7bb93)
(2eaf9,603af) (1b8e1,603af)
(d09d,231f5) (b35d,231f5)
(1af39,1e1d9) (11159,1e1d9)
(7c6d,19801) (62e5,19801)
(bf5,454d) (1e9d,454d)
(673,4d815) (267f7,4d815)
(137e9,2b5e9) (76c9,2b5e9)
(73079,a023b) (21ac1,a023b)
(19ead,1fc8b) (f305,1fc8b)
(23323,606cd) (5fe03,606cd)
(31d47,75523) (46f57,75523)
(1d4f3,2ee4f) (1941b,2ee4f)
(ba01,197db) (19261,197db)
(177cb,6358f) (3be53,6358f)
(a595,19801) (a15d,19801)
(3d8a1,6b057) (1fbb9,6b057)
(48637,7b1af) (756c7,7b1af)
(169cd,45f67) (42815,45f67)
(4465,12af1) (9415,12af1)
(92c5,8d88f) (13d55,8d88f)
(97b5,1dc57) (ebb5,1dc57)
(4ded1,505bd) (2e9fd,505bd)
(2fcfd,3b347) (325d5,3b347)
(31c1f,6bbc9) (2ce43,6bbc9)
(2f2a3,6895d) (1293b,6895d)
(557ef,8c93b) (1f50f,8c93b)
(8e9d,21a37) (13505,21a37)
(14647,32305) (2e9b7,32305)
(a1f3,34e61) (d80b,34e61)
(31bb,404f) (39b3,404f)
(518cf,82e07) (7edf7,82e07)
(3a335,5a81d) (2711d,5a81d)
(f5bf,11cc3) (e4df,11cc3)
(1cbf,bcfb) (9947,bcfb)
(53ce7,89ac7) (3833f,89ac7)
(17ab,1801d) (527f,1801d)
(12e63,2913b) (17693,2913b)
(9685,4bf77) (18da5,4bf77)
(f941,4434d) (202c1,4434d)
(421ff,7e8d7) (2777f,7e8d7)
(67405,90c8f) (9b4d,90c8f)
(92f,dd93) (8c6f,dd93)
(40f3,32b0f) (13423,32b0f)
(33b1,16cf9) (f8d1,16cf9)
(1451,d9bb) (a0f1,d9bb)
(1bb39,1e4b1) (5991,1e4b1)
(777d,896b) (3b1d,896b)
(a033,126cd) (d2c7,126cd)
(3a0d,15bf9) (13c85,15bf9)
(1944d,20b21) (203f5,20b21)
(2cb4b,78293) (25693,78293)
(2047,3a211) (d2f7,3a211)
(3f305,43045) (2f2cd,43045)
(297cd,568cd) (4fd05,568cd)
(7253,261e9) (107db,261e9)
(2f85d,31ba1) (2dbf5,31ba1)
(16859,27e6f) (13769,27e6f)
(9a2d,20785) (10f61,20785)
(306df,44ee5) (24ebf,44ee5)
(875b,1ce25) (165d3,1ce25)
(2e889,5f46b) (48cb9,5f46b)
(27841,362dd) (e341,362dd)
(549b,210c1) (12e3f,210c1)
(2f56f,6b0bd) (2cd07,6b0bd)
(2a1df,3ebcd) (899f,3ebcd)
(3077,1ffbb) (1214f,1ffbb)
(89b85,9687b) (867f5,9687b)
(8587,2f18f) (7def,2f18f)
(2ca11,3067d) (2c999,3067d)
(da45,1c2ef) (1432d,1c2ef)
(18fa3,1ea21) (15043,1ea21)
(22411,434bf) (19e61,434bf)
(ab49,12523) (11e21,12523)
(4ba15,5188f) (4aa9d,5188f)
(17db3,6d6d3) (22c8b,6d6d3)
(6ec3,1a843) (11d6b,1a843)
(27977,37e53) (51d7,37e53)
(d8cb,175bd) (48e3,175bd)
(2eedd,8a25d) (4504d,8a25d)
(2e1,bedf) (6d31,bedf)
(ac27,2ebfb) (c937,2ebfb)
(ddf,70eb) (227f,70eb)
(18e93,258e3) (138fb,258e3)
(15d7,9b47) (7757,9b47)
(307c9,3e45b) (1039,3e45b)
(3dda7,95a1d) (65617,95a1d)
(793,3cc1) (b8f,3cc1)
(58181,5d13f) (4c551,5d13f)
(20c8f,24f11) (1966f,24f11)
(123a7,13e5f) (b0cf,13e5f)
(5fee5,662ef) (2494d,662ef)
(3b5fd,9c731) (4eba5,9c731)
(1584b,1c1f5) (1443b,1c1f5)
(555b,d8b9) (3503,d8b9)
(15df,17da1) (bfcb,17da1)
(194cf,8c1c1) (67187,8c1c1)
(2faaf,5cb5d) (3fa0f,5cb5d)
(7169,6a001) (29ed9,6a001)
(efb3,1b86f) (1154b,1b86f)
(56dd,82db) (5035,82db)
(15391,27f73) (3121,27f73)
(24499,50155) (394c9,50155)
(2bc6d,79571) (46fe5,79571)
(1e661,26f05) (d441,26f05)
(2824d,2c62f) (26b55,2c62f)
(4595,4eb3f) (4633d,4eb3f)
(215b,9b47) (35b3,9b47)
(1fa5d,39173) (33305,39173)
(35,10463) (ccad,10463)
(c031,20c5d) (12b11,20c5d)
(dac7,7c129) (4eff7,7c129)
(1efb,36c1) (1df7,36c1)
(147ed,17749) (1675,17749)
(18c97,24119) (64b7,24119)
(3aced,58bf5) (33e65,58bf5)
(73a53,e3ab3) (4d09b,e3ab3)
(19e59,3523f) (21d31,3523f)
(a6737,bb91b) (10fc7,bb91b)
(1c789,28295) (1f789,28295)
(9ffff,ad083) (93fdf,ad083)
(4e2b1,6b20d) (34841,6b20d)
(6241d,9cb6b) (5685d,9cb6b)
(2b0af,67e23) (591a7,67e23)
(1372f,3c035) (a48f,3c035)
(2a4eb,3d433) (391eb,3d433)
(1b149,24da3) (17021,24da3)
(7199,bb31) (9b69,bb31)
(2dc77,2efb1) (f03b,2efb1)
(3453d,4df8d) (35095,4df8d)
(1873,4a63) (104b,4a63)
(a77,b7b5) (4d7f,b7b5)
(39a5b,81d5b) (64a93,81d5b)
(7a9f,b97b) (3797,b97b)
(97a5,15a03) (13aad,15a03)
(2c119,303fb) (1e049,303fb)
(a045,6c2c9) (10b19,6c2c9)
(19cc7,2c707) (10807,2c707)
(1b301,279d3) (17701,279d3)
(6c73,6264d) (1c3eb,6264d)
(1ead5,2f7ad) (6e1d,2f7ad)
(5ce03,5eed3) (4ebbb,5eed3)
(245d3,29fd7) (11a33,29fd7)
(2ec1,56ea9) (18941,56ea9)
(1d04d,8e109) (6f60d,8e109)
(68a7,9d19) (28e7,9d19)
(2f4d,78d3d) (2220d,78d3d)
(3ca49,5cb5b) (451d9,5cb5b)
(7c835,826c9) (984d,826c9)
(1a0f3,4ed25) (1899b,4ed25)
(31edd,44353) (1a035,44353)
(185cf,396ef) (722f,396ef)
(1387d,3e63b) (1ee45,3e63b)
(1f0f3,690f7) (5249b,690f7)
(e08f,31cff) (22117,31cff)
(17413,19a17) (130c3,19a17)
(e759,2afe5) (198e9,2afe5)
(380e3,4a1c5) (8a8b,4a1c5)
(2bdaf,60427) (3adf,60427)
(259eb,4380b) (dbe3,4380b)
(7951b,7fc39) (3aa83,7fc39)
(45735,4d2d5) (14a1d,4d2d5)
(2a571,2dd6d) (1d389,2dd6d)
(616f1,9ebbb) (a649,9ebbb)
(5fa7,1aaa1) (11017,1aaa1)
(1f46f,4ced1) (462cb,4ced1)
(168a9,22fdb) (f919,22fdb)
(111e5,299dd) (18e4d,299dd)
(fd97,3928f) (26227,3928f)
(ded7,133e1) (7847,133e1)
(5fb55,6db61) (3e81,6db61)
(9a7f,28ae9) (1e6ff,28ae9)
(34b49,514b1) (1c6f9,514b1)
(b9b13,bf45b) (298f3,bf45b)
(131c5,85c81) (44acd,85c81)
(26a67,32597) (291c7,32597)
(73931,9a837) (68dd1,9a837)
(3d3,15a01) (d0ab,15a01)
(437a7,718d5) (19b,718d5)
(8e67,50621) (38657,50621)
(27125,373c3) (3615d,373c3)
(6889,1facb) (12359,1facb)
(bc7b,67c3f) (fda3,67c3f)
(38261,710b3) (3f4e9,710b3)
(22901,4dc2d) (4a771,4dc2d)
(8bd6f,c6e4d) (22477,c6e4d)
(1b5a1,1e533) (e521,1e533)
(1c991,35fcb) (def1,35fcb)
(396a3,44893) (18c4b,44893)
(802b5,bb811) (19ce5,bb811)
(1a471,3f78b) (32381,3f78b)
(2d03d,3b945) (37015,3b945)
(58b95,8d251) (38efd,8d251)
(3695,9fd1) (4a5d,9fd1)
(1ae43,1ef35) (7d7b,1ef35)
(12b9f,1dc57) (281f,1dc57)
(de5b,e7ad) (4867,e7ad)
(6cbc5,aa8b5) (2568d,aa8b5)
(607b5,bcdf5) (5d41,bcdf5)
(2f33,179a1) (7eb,179a1)
(a4a3,2803f) (926b,2803f)
(361f7,3d28b) (13487,3d28b)
(a939,21d57) (20c11,21d57)
(1cd6f,23e0f) (3c3f,23e0f)
(2d5ed,40309) (427d,40309)
(e1c7,1b6ef) (82b7,1b6ef)
(600a1,85399) (63725,85399)
(2a35,2f473) (9fd5,2f473)
(561c7,702eb) (52edf,702eb)
(d379,f4d5) (cf49,f4d5)
(2aa4f,8c73d) (520ef,8c73d)
(3e0f1,5e711) (420d,5e711)
(1913f,1eee1) (17687,1eee1)
(271b7,50fb3) (3d1d7,50fb3)
(45c11,77c15) (1a7e9,77c15)
(8579,152ab) (d1,152ab)
(9fd9,24733) (1a9e1,24733)
(144eb,2691b) (ba2b,2691b)
(4130b,4220f) (12fd3,4220f)
(2bed7,42a39) (26447,42a39)
(a8f79,ab6cd) (6ea09,ab6cd)
(3ed51,43069) (3ceb1,43069)
(871d,e659) (ba35,e659)
(15795,5f48b) (36b5d,5f48b)
(237d7,4dd8b) (183e7,4dd8b)
(a3eb,34267) (193b3,34267)
(457cd,5910d) (dc65,5910d)
(134d7,26e55) (c3c7,26e55)
(4bed1,a3cbb) (4e919,a3cbb)
(1d45,8b3e5) (81581,8b3e5)
(73a51,859cf) (36cd1,859cf)
(1343f,6cea7) (1d837,6cea7)
(ca9f,1dea9) (99df,1dea9)
(37ab3,3c4ed) (2627b,3c4ed)
(4c15,2c30f) (429d,2c30f)
(56bdb,cdabf) (711e3,cdabf)
(818f9,875c9) (3f1d9,875c9)
(46b61,49315) (11e21,49315)
(3ef65,a3225) (2b801,a3225)
(d89f,2c095) (1b5ff,2c095)
(c017,f14b) (9947,f14b)
(1137d,1f673) (f42d,1f673)
(2282b,25cb1) (1acd7,25cb1)
(2209d,50b21) (48719,50b21)
(12a45,1e5d5) (1188d,1e5d5)
(ad5,13ff7) (2a55,13ff7)
(7ea3,1a837) (109db,1a837)
(8e2e9,c3f1f) (bc8d9,c3f1f)
(2202d,2299f) (1ba85,2299f)
(50b,3a19) (2803,3a19)
(2fa7,82b7) (2eff,82b7)
(4643,710f) (1bb,710f)
(13199,1dfb7) (15eb1,1dfb7)
(26edd,39595) (1d1e9,39595)
(57b,3b93) (1b9b,3b93)
(97f3,dc2b) (cfbb,dc2b)
(2c5cf,59e31) (150af,59e31)
(57a75,630e5) (38e45,630e5)
(2d65f,568cd) (1f19f,568cd)
(2ae8f,894cb) (27faf,894cb)
(2287,73d3) (6457,73d3)
(33cb,2004b) (1553,2004b)
(93b5,2da9f) (17abd,2da9f)
(f019,1a129) (90a9,1a129)
(300ef,74d17) (cbe7,74d17)
(244e7,7931b) (408c7,7931b)
(7cf57,884f9) (4e67,884f9)
(42305,6937d) (6262d,6937d)
(1cf5d,22b0b) (5515,22b0b)
(207ad,2ea17) (20b05,2ea17)
(40d4d,44fe1) (3dd5,44fe1)
(2956f,604ed) (3406f,604ed)
(fdcd,1194b) (b645,1194b)
(a9e9d,b385b) (5335,b385b)
(1099,f51d) (4ab9,f51d)
(26f7d,7e0a3) (a75,7e0a3)
(10fc9,3481d) (18a81,3481d)
(788b,15877) (62b,15877)
(f667,1864f) (13ad7,1864f)
(6dab9,84a3d) (4ecc1,84a3d)
(1f915,32a2f) (2247d,32a2f)
(3c6b9,51d49) (28565,51d49)
(d211,1ce1d) (9fd1,1ce1d)
(979b,19ad1) (f15f,19ad1)
(cf97,165fb) (967,165fb)
(1c79b,3547d) (e533,3547d)
(47e97,5ac1f) (4a1bf,5ac1f)
(952d,3b771) (37805,3b771)
(89ad,4b1cf) (49a25,4b1cf)
(2b53b,3dad7) (22ff3,3dad7)
(21c1,321b) (871,321b)
(78c5,11de3) (c88d,11de3)
(2e9b7,67ba9) (23f7f,67ba9)
(33127,67ad7) (61117,67ad7)
(178ed,4771d) (1ca65,4771d)
(9cd3,1e247) (827b,1e247)
(4f51d,9daa5) (61235,9daa5)
(bb15,5591b) (361a5,5591b)
(21851,d06f7) (2b31,d06f7)
(1a6ab,4e4db) (2af23,4e4db)
(7069,18dff) (2fe9,18dff)
(e5f5,19405) (162dd,19405)
(1c681,211f9) (43a5,211f9)
(25993,28147) (d243,28147)
(1df21,1fc5b) (86f9,1fc5b)
(10517,24e63) (11327,24e63)
(44e7,9389) (84e3,9389)
(4888d,b8c2b) (4bf65,b8c2b)
(30941,6769f) (4f739,6769f)
(3aa79,676f9) (36889,676f9)
(29af7,2a655) (282af,2a655)
(e757,45715) (8d47,45715)
(14803,27959) (a0ab,27959)
(4610f,4a0f5) (342e3,4a0f5)
(1d9bf,25f57) (e2b7,25f57)
(11405,1f0df) (1b01d,1f0df)
(1cfd,2a493) (fa25,2a493)
(3da3,c0af) (19b3,c0af)
(589f,2941d) (12b3b,2941d)
(669cb,8be73) (18a0b,8be73)
(6e5d9,df7f9) (540e9,df7f9)
(1f03d,76427) (4b305,76427)
(8a4f,e285) (697,e285)
(58585,59c1b) (6f55,59c1b)
(ec35,19a8d) (fce5,19a8d)
(1d845,e79bb) (aab2d,e79bb)
(8d93,14149) (b59b,14149)
(20573,31933) (f16b,31933)
(157b5,1c0b7) (535d,1c0b7)
(5142d,700b5) (508f9,700b5)
(12d25,1cf45) (78ad,1cf45)
(63f7,d08b) (3fdf,d08b)
(1cbc3,2c677) (288fb,2c677)
(3e7ef,6a115) (37c73,6a115)
(155,11375) (da99,11375)
(d747,1e565) (5977,1e565)
(4c123,50a3d) (2e84b,50a3d)
(e1a9,f7c7) (4879,f7c7)
(1c585,6b191) (3cb4d,6b191)
(2387d,2e051) (250d5,2e051)
(24477,42475) (32707,42475)
(e6a7,1c841) (191e3,1c841)
(2590f,38521) (790f,38521)
(5009,cc71) (a001,cc71)
(14e97,5eaef) (14e37,5eaef)
(3533,4d45) (194f,4d45)
(3f0c1,4296b) (12f49,4296b)
(53d79,860bd) (7a131,860bd)
(2563,9d43) (1d23,9d43)
(16847,213bf) (d157,213bf)
(3463,1a731) (9f93,1a731)
(2de17,baa97) (a3e7,baa97)
(15677,27479) (11b67,27479)
(a20b,1f843) (ffa3,1f843)
(b25b,21251) (4523,21251)
(47133,494a7) (180db,494a7)
(bc8d,d337) (b68d,d337)
(47537,866db) (41687,866db)
(5531,337b7) (1fbd1,337b7)
(1c109,2d87d) (144ad,2d87d)
(5b76f,941ff) (9041f,941ff)
(1dd07,40c55) (2bbbb,40c55)
(3d7cf,929b3) (2d227,929b3)
(52e2b,5cc95) (29043,5cc95)
(2ef13,54527) (40f2b,54527)
(15517,28ae9) (10427,28ae9)
(930b,14cd7) (fd2b,14cd7)
(8bbfb,a6877) (4cd33,a6877)
(13cdb,dd971) (4e153,dd971)
(3595,246c5) (11bbd,246c5)
(791c5,b77e5) (895ed,b77e5)
